Date,Open,High,Low,Close,Adj Close,Volume
01/02/2008,94.150002,94.550003,92.779999,93.510002,69.373184,23351900
01/03/2008,93.860001,94.739998,93.510002,93.830002,69.61058,19160600
01/04/2008,93.239998,94.360001,91.879997,92.080002,68.312286,24730900
01/07/2008,92.5,93.150002,90.25,91.220001,67.674255,28937500
01/08/2008,91.860001,92.050003,89.68,90.050003,66.806282,21764500
01/09/2008,90.110001,91.730003,89.5,91.559998,67.926506,26198800
01/10/2008,90.75,92.160004,90.07,91.660004,68.000717,27285300
01/11/2008,91.010002,91.860001,90,90.300003,66.991737,22727200
01/14/2008,90.839996,91.25,90.080002,90.830002,67.384941,20425900
01/15/2008,89.889999,89.889999,88.489998,89.019997,66.042122,26486000
01/16/2008,88.449997,89.349998,85.910004,86.529999,64.194855,35965400
01/17/2008,87.470001,87.910004,83.489998,83.910004,62.251129,34096500
01/18/2008,84,86.470001,82.800003,85.080002,63.119129,43830600
01/22/2008,80,83.980003,79.5,82.449997,61.167992,49613500
01/23/2008,80.010002,83.489998,77.550003,83.449997,61.909859,47420700
01/24/2008,84.290001,86.07,83.029999,86,63.801674,31180900
01/25/2008,86.699997,86.989998,83.599998,83.940002,62.273388,28236100
01/28/2008,83.5,85.339996,82.540001,85.129997,63.156231,23688800
01/29/2008,85.220001,86.360001,84.449997,85.080002,63.119129,22488400
01/30/2008,84.540001,87.470001,84.349998,85.279999,63.267525,24131900
01/31/2008,84.220001,86.400002,83.099998,85.699997,63.579094,32970800
02/01/2008,87.699997,87.860001,84.849998,85.949997,63.764587,28440200
02/04/2008,86.040001,86.290001,84.849998,85.440002,63.386208,18836700
02/05/2008,84.110001,84.220001,82.099998,82.110001,60.915756,30599700
02/06/2008,82.690002,83.07,81.089996,81.440002,60.418678,29215900
02/07/2008,80.970001,82.510002,80.360001,81.889999,61.014763,26611800
02/08/2008,82,82.400002,80.959999,81.709999,60.880646,24176500
02/11/2008,81.849998,83.300003,81.040001,83.220001,62.005711,22697000
02/12/2008,83.599998,85.080002,83.300003,84.379997,62.870007,25150600
02/13/2008,84.709999,85.699997,84.5,85.489998,63.697075,21546600
